question,answer_a,answer_b
What is the session timeout duration for VietBank's online banking?,The session timeout duration for VietBank's online banking is 5 minutes of inactivity.,VietBank's online banking automatically logs out after 5 minutes of inactivity for security purposes. This applies to both web and mobile sessions. Users can re-authenticate using biometrics for quick access.
What is the minimum payment required for VietBank credit cards?,"The minimum payment for VietBank credit cards is 5% of the outstanding balance or 500,000 VND, whichever is higher.","The minimum payment for VietBank credit cards is 5% of the outstanding balance or 500,000 VND, whichever is higher. Late payments incur a 4% fee on the minimum amount, and revolving balances accrue 1.5-2.5% monthly interest."
What is the cashback rate for VietBank Signature credit card?,"Based on VietBank's documentation, VietBank credit cards: Classic - 200,000 VND annual fee, 30-100M limit, 0.5% cashback. Signature - 3,000,000 VND, 1-5B, 2.0%. Interest on revolving balance: 1.5-2.5% per month.","According to VietBank's policy documentation, All include free accident insurance up to 500M VND, airport lounge access (Platinum+), 0% installment at 5,000+ merchants. Signature - 3,000,000 VND, 1-5B, 2.0%. Payment due date: 15 days after statement date. Please contact your nearest branch for the most current information."
What encryption standard does VietBank use for transactions?,"Based on VietBank's documentation, Term Deposit - 6.2-7.5% depending on term (3, 6, 12, 24 months). Premium Savings - 5.8% annual interest, minimum balance 100,000,000 VND. The account opening process typically takes 15-30 minutes at any VietBank branch.","According to VietBank's policy documentation, Term Deposit - 6.2-7.5% depending on term (3, 6, 12, 24 months). Premium Savings - 5.8% annual interest, minimum balance 100,000,000 VND. The account opening process typically takes 15-30 minutes at any VietBank branch. Please contact your nearest branch for the most current information."
What is the billing cycle for VietBank credit cards?,"Based on VietBank's documentation, Platinum - 1,500,000 VND, 300M-1B, 1.5%. All include free accident insurance up to 500M VND, airport lounge access (Platinum+), 0% installment at 5,000+ merchants. Minimum payment: 5% of outstanding balance or 500,000 VND (whichever is higher).","According to VietBank's policy documentation, Platinum - 1,500,000 VND, 300M-1B, 1.5%. Signature - 3,000,000 VND, 1-5B, 2.0%. Late payment fee: 4% of minimum payment amount. Please contact your nearest branch for the most current information."
Compare the total annual cost of holding a Gold vs Platinum credit card assuming no transactions.,"Based on VietBank's documentation, Signature - 3,000,000 VND, 1-5B, 2.0%. Gold - 500,000 VND, 100-300M, 1.0%. Billing cycle: 30 days.","According to VietBank's policy documentation, All include free accident insurance up to 500M VND, airport lounge access (Platinum+), 0% installment at 5,000+ merchants. VietBank credit cards: Classic - 200,000 VND annual fee, 30-100M limit, 0.5% cashback. Late payment fee: 4% of minimum payment amount. Please contact your nearest branch for the most current information."
How many ATMs does VietBank have?,"Based on VietBank's documentation, To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch. Student Account - 3.0% interest, no fees for students under 25.","According to VietBank's policy documentation, To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch. Premium Savings - 5.8% annual interest, minimum balance 100,000,000 VND. Please contact your nearest branch for the most current information."
How often must customer information be updated for standard accounts?,"Based on VietBank's documentation, To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. The account opening process typically takes 15-30 minutes at any VietBank branch. Student Account - 3.0% interest, no fees for students under 25.","According to VietBank's policy documentation, The account opening process typically takes 15-30 minutes at any VietBank branch. To open a personal savings account at VietBank, customers must provide: Valid Citizen Identity Card (CCCD) with 12-digit number, Proof of residential address (utility bill or rental contract), Minimum initial deposit of 500,000 VND, Tax identification number (TIN) for interest reporting. Premium Savings - 5.8% annual interest, minimum balance 100,000,000 VND. Please contact your nearest branch for the most current information."
What is the minimum initial deposit required to open a personal savings account at VietBank?,"The minimum initial deposit required to open a personal savings account at VietBank is 500,000 VND.","To open a personal savings account at VietBank, the minimum initial deposit is 500,000 VND. You will also need a valid CCCD (12-digit), proof of address, and a TIN. The process takes approximately 15-30 minutes at any branch."
How long are transaction records retained?,"Based on VietBank's documentation, VietBank Mobile App features: Balance inquiry, transaction history, fund transfers, bill payments, QR code payments, account management, loan application, investment products, customer support chat. Security features: Biometric authentication (fingerprint, Face ID), 2FA (OTP via SMS/authenticator), transaction limits, device binding (max 2 devices), real-time AI fraud detection, session timeout (5 minutes). Passwords: min 8 chars, change every 90 days.","According to VietBank's policy documentation, VietBank Mobile App features: Balance inquiry, transaction history, fund transfers, bill payments, QR code payments, account management, loan application, investment products, customer support chat. Account lockout after 5 failed attempts. Passwords: min 8 chars, change every 90 days. Please contact your nearest branch for the most current information."
